topology,rho_agents,sync_mean,sync_std,violation_mean,violation_std,peak_charge_ratio_mean,peak_charge_ratio_std,curtailment_fraction_mean,curtailment_fraction_std,absorption_fraction_mean,absorption_fraction_std
linear,0.0,1.6339661415789957,0.0928548216702718,0.0,0.0,0.39433339655984434,0.043628636582964585,0.22454315845407738,0.05368682141822022,0.7754568415459226,0.053686821418220246
linear,0.05,1.6067810551484698,0.09587098636115864,0.0,0.0,0.40390194766954507,0.04810489081404655,0.2343762715302124,0.06419853812999664,0.7656237284697877,0.06419853812999664
linear,0.1,1.5759493400201507,0.10743781723552034,0.00020833333333333332,0.002946278254943948,0.4153046488181754,0.05121411737240013,0.24833897024081591,0.08392379257343492,0.751661029759184,0.0839237925734349
linear,0.15000000000000002,1.5470799058086258,0.10458906569056863,0.0008333333333333333,0.005847971583032665,0.4279259795255143,0.057159399053476494,0.25233923607089165,0.08869858318504513,0.7476607639291083,0.08869858318504513
linear,0.2,1.5234610557829567,0.1227123262458493,0.0020833333333333333,0.00910382755540606,0.4386257734593201,0.06526996824281794,0.26729699346913155,0.10060971994447002,0.7327030065308685,0.10060971994447002
linear,0.25,1.484518994401181,0.12606350520372522,0.0022916666666666667,0.00952301496745394,0.4479587067425977,0.06718903613287254,0.271405833340583,0.10457161464087733,0.7285941666594171,0.1045716146408773
linear,0.30000000000000004,1.45292421686045,0.13238814120231931,0.00375,0.011954162875343939,0.4639896112949661,0.06407230389575522,0.2642915485770953,0.1136159684851143,0.7357084514229046,0.11361596848511427
linear,0.35000000000000003,1.4325696287699208,0.14484197573251098,0.004583333333333333,0.013069788623043331,0.4666568551608485,0.07278904878520731,0.30085059131373787,0.127043145440573,0.6991494086862622,0.12704314544057296
linear,0.4,1.4018887705243501,0.13071002058034908,0.00875,0.01895419704725867,0.48059132423138173,0.07272322061785892,0.2836349611984478,0.11882171952877339,0.7163650388015522,0.11882171952877335
linear,0.45,1.3415395141504283,0.14722207094099887,0.009791666666666666,0.018196871068801468,0.4916034641223724,0.07214779391839647,0.3105383327296646,0.12683459822253326,0.6894616672703354,0.12683459822253326
linear,0.5,1.316067175206409,0.1447433634275176,0.012083333333333333,0.02113062588007634,0.5005463759903506,0.07070785286089369,0.28640016177805605,0.13399658661888422,0.713599838221944,0.13399658661888425
linear,0.55,1.270918499565639,0.1486976319356121,0.015416666666666665,0.023743552417594023,0.5110052777996393,0.06953535147737587,0.3071576874082574,0.14104472371359028,0.6928423125917427,0.14104472371359028
linear,0.6000000000000001,1.227552309719991,0.15127170724586247,0.017916666666666664,0.023447763200498337,0.5204041564671593,0.07723984516554713,0.30894700615427345,0.14221510548960814,0.6910529938457266,0.14221510548960814
linear,0.65,1.1826996353918968,0.1604411388903931,0.024375,0.025843361375632107,0.528471693830313,0.08363175735152467,0.3237957843915579,0.1587691155533534,0.6762042156084422,0.15876911555335338
linear,0.7000000000000001,1.1356353619616872,0.17731881458453969,0.0275,0.02784609131972942,0.5382593122444823,0.07986590121476016,0.33412258702445824,0.15779099685408612,0.6658774129755417,0.1577909968540861
linear,0.75,1.0249847980228652,0.15553877097456684,0.03270833333333333,0.02979477426366356,0.5552160636780696,0.07959772420223311,0.356796579781925,0.16791051812084312,0.6432034202180749,0.1679105181208431
linear,0.8,0.9718029707299551,0.16643414859271852,0.03270833333333333,0.03150267751597633,0.5606855688456036,0.0787953424010508,0.33615574809084897,0.16497925060627383,0.6638442519091511,0.16497925060627391
linear,0.8500000000000001,0.8795629856827013,0.17076579992006669,0.04395833333333333,0.035245979967261455,0.582631096528159,0.07112349136516777,0.37140496208587925,0.16907589889765737,0.6285950379141207,0.1690758988976573
linear,0.9,0.7626942542043587,0.17398233630169094,0.04979166666666666,0.03462164383249119,0.5956972667086292,0.06468317914312872,0.3916199792679236,0.17834092091162806,0.6083800207320764,0.17834092091162818
linear,0.9500000000000001,0.6235410539374031,0.16724659318561758,0.05791666666666666,0.03612426209014917,0.6081197641868192,0.07216404266913791,0.41386847799034276,0.20210800033302648,0.5861315220096572,0.20210800033302656
linear,1.0,0.14958397174814608,0.015560047957315568,0.080625,0.033955022266670576,0.6396033956964375,0.0935736451271484,0.4397133816275332,0.2152959979350691,0.5602866183724668,0.2152959979350691
small_world,0.0,1.6299067001842757,0.08334490942798704,0.0,0.0,0.3912598923169261,0.04091539791070789,0.22363901761285668,0.05697103851940304,0.7763609823871434,0.05697103851940305
small_world,0.05,1.5894223173846052,0.10265215714111543,0.0,0.0,0.4033919575876944,0.05069371434182358,0.24048308353435552,0.07954856881604694,0.7595169164656445,0.07954856881604691
small_world,0.1,1.5795487184874297,0.10346505503019163,0.000625,0.005077395136635945,0.4159874226040452,0.05085646902382292,0.23397779860817747,0.07588112232714853,0.7660222013918225,0.07588112232714851
small_world,0.15000000000000002,1.5465368799521664,0.10507115278795724,0.0010416666666666667,0.006521530505487446,0.42369762999000327,0.060144556757740074,0.25337201854236896,0.0859444408995761,0.7466279814576311,0.08594444089957609
small_world,0.2,1.5165704697704612,0.11589850061482251,0.0022916666666666667,0.00952301496745394,0.4380280298950192,0.06016806373009243,0.24283695760596977,0.10044807162810417,0.7571630423940302,0.10044807162810417
small_world,0.25,1.506221575527224,0.13397585915589724,0.003125,0.011002179242027545,0.4465818846726093,0.06607163672538445,0.2787332785455992,0.09742756450825726,0.7212667214544008,0.09742756450825724
small_world,0.30000000000000004,1.4516174377419382,0.1265842501695625,0.004166666666666667,0.012531367677927133,0.45797919278088406,0.07031253890515285,0.27916160096631343,0.11833244811950985,0.7208383990336865,0.11833244811950985
small_world,0.35000000000000003,1.4050110212148055,0.1470808879583207,0.007708333333333333,0.016219665239460973,0.47712763627374477,0.0680198466954504,0.2820489879187616,0.11699538761452877,0.7179510120812383,0.11699538761452878
small_world,0.4,1.3892014434701223,0.12922268033645365,0.007916666666666666,0.017912989962042474,0.48297046261622745,0.07424973238467263,0.2900007574891968,0.1248979919781964,0.7099992425108032,0.12489799197819636
small_world,0.45,1.3336146484593032,0.14294047374797925,0.011458333333333333,0.019564591516462344,0.490143897063249,0.07396661788417325,0.2953328572012796,0.12449821334566122,0.7046671427987203,0.12449821334566123
small_world,0.5,1.2984264363501554,0.14174303804366234,0.016041666666666666,0.023510002088755512,0.5095802415573352,0.0701463230018291,0.31171487280766225,0.13038433794012008,0.6882851271923377,0.13038433794012008
small_world,0.55,1.249680867415275,0.15016574418300502,0.016875,0.024031164335014697,0.5085875465121954,0.08333560527136903,0.3211034020683958,0.13869508342984516,0.6788965979316042,0.13869508342984516
small_world,0.6000000000000001,1.207832774724505,0.16005486916228182,0.01875,0.02316326511788165,0.5241058341602534,0.07045480164318478,0.3187371263555351,0.1447852649050367,0.6812628736444648,0.1447852649050367
small_world,0.65,1.177079572808376,0.17324428092558733,0.02520833333333333,0.02703779511352176,0.5372556331526018,0.07733521162471177,0.333310439149879,0.13564606837680104,0.666689560850121,0.13564606837680104
small_world,0.7000000000000001,1.1169488827855931,0.1637951181149683,0.029166666666666664,0.029239857915163328,0.5453786636042277,0.07675725297598282,0.3369761183707427,0.13951637319078494,0.6630238816292572,0.139516373190785
small_world,0.75,1.0643901979549675,0.15603733030275846,0.035625,0.03246285404577545,0.5660812641644285,0.07083563888594593,0.3281491169552554,0.15630643509322795,0.6718508830447446,0.15630643509322784
small_world,0.8,0.944679517937666,0.17640583017281927,0.043125,0.03108450033959638,0.5717547101743817,0.07505284706998401,0.35361579177696717,0.15882327195212673,0.6463842082230328,0.15882327195212675
small_world,0.8500000000000001,0.8687521150531425,0.17477593129367994,0.03958333333333333,0.031188870976816184,0.578566250976552,0.07074234851085129,0.3577890900389054,0.17162300748881487,0.6422109099610945,0.17162300748881487
small_world,0.9,0.7701651746485265,0.16541222319336008,0.048541666666666664,0.03514186670689096,0.590819709604213,0.07441624036210352,0.3700299071513669,0.17103784387163534,0.6299700928486331,0.17103784387163531
small_world,0.9500000000000001,0.6114529075952588,0.16494526444137644,0.06,0.03460715159289384,0.6131415331032336,0.05846075818837669,0.38346181724160233,0.1884174604621151,0.6165381827583977,0.1884174604621151
small_world,1.0,0.15125294495281927,0.015665495435001512,0.08291666666666667,0.034945818315721904,0.6491492117367085,0.04951369739612824,0.4447465248794473,0.20746399826379394,0.5552534751205527,0.2074639982637939
star,0.0,1.6146432014429095,0.10562835005798679,0.00041666666666666664,0.004156184469767153,0.40018646190146867,0.07925598651135932,0.2647079854052341,0.08622033440090535,0.735292014594766,0.08622033440090533
star,0.05,1.5885017005949527,0.1175286021284135,0.0016666666666666666,0.008185455090700578,0.42901563908726265,0.08866982021784504,0.265433275823164,0.08966648737811343,0.7345667241768359,0.08966648737811345
star,0.1,1.5563724067459064,0.11472253452725382,0.0035416666666666665,0.011649230210151752,0.4391689185030097,0.09613715544235206,0.2824299052889795,0.10048372400895754,0.7175700947110205,0.10048372400895755
star,0.15000000000000002,1.5267445137195204,0.11369437219561027,0.007291666666666666,0.01587169161242323,0.461291371979163,0.0912583461583508,0.2830259117534201,0.10676304639965507,0.7169740882465798,0.10676304639965506
star,0.2,1.5018321093880416,0.13204220614134854,0.008125,0.018538849229791356,0.4719184858166662,0.09187936212682167,0.27397669555668874,0.10354968784585482,0.7260233044433113,0.10354968784585482
star,0.25,1.4826726667285373,0.13156817729860307,0.010416666666666664,0.01856353870604683,0.4786316669201433,0.09876166156780809,0.27738894352320126,0.11585259714560923,0.7226110564767987,0.11585259714560923
star,0.30000000000000004,1.4643728884090814,0.14158752482614512,0.013125,0.020708377357903245,0.48338248894602337,0.10502861855440086,0.2966066190492248,0.1127093098866336,0.7033933809507752,0.1127093098866336
star,0.35000000000000003,1.4083019640161725,0.13592521525638585,0.013125,0.02193585994265521,0.48700061368369524,0.10165100953234517,0.30370613427986165,0.12102532857211501,0.6962938657201384,0.12102532857211504
star,0.4,1.3789514279789485,0.1461101752332733,0.01625,0.024637942213956245,0.4997741193370102,0.10554175560561589,0.31782255123324316,0.12011087937089661,0.6821774487667568,0.12011087937089661
star,0.45,1.3375126904813888,0.15525591413692938,0.0225,0.025006978367198018,0.5270769121981619,0.09534435392498974,0.3079634513140536,0.1271823275309742,0.6920365486859464,0.12718232753097417
star,0.5,1.2932916613670273,0.1563728079377989,0.025625,0.026966715168299127,0.5262706671037551,0.10846063699869489,0.3171214349890599,0.1324363681193361,0.6828785650109401,0.13243636811933615
star,0.55,1.248937472975251,0.15954217924729144,0.027291666666666665,0.026940821419142634,0.5327486065042951,0.10680068914547865,0.3235279235773171,0.13781329167323014,0.676472076422683,0.13781329167323014
star,0.6000000000000001,1.2284270878521895,0.17304058929435576,0.02645833333333333,0.027127991142101158,0.5321118246802569,0.11250438929189907,0.34211809022319506,0.14059513638165066,0.6578819097768048,0.14059513638165064
star,0.65,1.1724323194326776,0.1605034588693896,0.03395833333333333,0.032911246187711275,0.5517910792048816,0.09551394785820319,0.3311013938809232,0.13428730578581377,0.6688986061190768,0.13428730578581374
star,0.7000000000000001,1.0938820970548284,0.16733462204689026,0.03916666666666666,0.031158086494394725,0.5746966530329418,0.08816547187479616,0.3253449953043293,0.14211083914049488,0.6746550046956706,0.1421108391404949
star,0.75,1.0214935409274677,0.17444732067267296,0.04,0.03093327773922111,0.5696190537977537,0.09431933874306331,0.3549220771526577,0.15708373733542794,0.6450779228473423,0.15708373733542796
star,0.8,0.9587071604040576,0.16181841047023254,0.048125,0.034972645248673405,0.5827240642418606,0.08936092386555348,0.3682282364354861,0.14982386609225015,0.6317717635645139,0.14982386609225018
star,0.8500000000000001,0.8466358233359782,0.17561306968598125,0.05270833333333333,0.034057640527204606,0.593291500143739,0.08650850939910514,0.3451115961021622,0.1720898357390908,0.6548884038978379,0.1720898357390908
star,0.9,0.7477922546032062,0.17277090678813983,0.05520833333333333,0.03640033374136029,0.608827707872627,0.08128710711807728,0.3908503570602195,0.1644577502616792,0.6091496429397805,0.16445775026167925
star,0.9500000000000001,0.573847435502184,0.17711385281707603,0.05979166666666666,0.034083246816696305,0.6191114780994202,0.07408903265205444,0.42097029860282303,0.20757837357826933,0.5790297013971769,0.20757837357826936
star,1.0,0.14921156394488344,0.01583413109734668,0.085,0.03490835093246486,0.6528433319119611,0.018408057133729894,0.41530080138903935,0.19833082615080092,0.5846991986109606,0.19833082615080092
